Jenjang;fakultas/sekolah;prodi;nama_mk;semester;deskripsi_mk;sumber_deskripsi;status_kepmen;kriteria_kepmen_match;keyword_match
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Studio Perencanaan Wilayah;Semester 5;Studio perencanaan wilayah.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Budha;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Hindu;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Islam;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Katolik;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Konghucu;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Agama Kristen;Semester 6;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Bahasa Indonesia;Semester 6;Mempelajari kaidah bahasa Indonesia dan keterampilan menulis akademik: ejaan, kalimat efektif, paragraf, dan penulisan karya ilmiah.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Etika Perencanaan;Semester 6;Mempelajari etika perencanaan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Kewarganegaraan;Semester 6;Mempelajari hak dan kewajiban warga negara, demokrasi, konstitusi, identitas nasional, dan wawasan kebangsaan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Metode Penelitian;Semester 6;Mempelajari filosofi dan desain penelitian, perumusan masalah dan hipotesis, teknik sampling dan pengumpulan data, analisis data, serta etika penelitian.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Pancasila;Semester 6;Mempelajari Pancasila sebagai dasar negara, ideologi, dan sistem etika, serta penerapannya dalam kehidupan berbangsa dan bernegara.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Studio Perencanaan Tematik;Semester 6;Studio perencanaan tematik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Kerja Praktik;Semester 7;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;KKN-PPM;Semester 7;Kuliah Kerja Nyata: pembelajaran-pemberdayaan masyarakat di lokasi desa/wilayah melalui program kerja interdisipliner bersama masyarakat. Hanya dihitung untuk indikator Kepmen bila program kerjanya bertema lingkungan secara substansial (cek laporan/RPS).;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Pra-Tugas Akhir;Semester 7;Pra-tugas akhir.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Perencanaan Wilayah dan Kota;Tugas Akhir;Semester 7;Pelaksanaan penelitian/proyek akhir mandiri di bawah bimbingan dosen, penulisan laporan ilmiah, dan ujian akhir. Keterkaitan dengan kriteria Kepmen bergantung pada topik tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Biomedis;Fisika Fluida, Kalor, dan Gelombang;Semester 1;Mempelajari fluida, kalor, dan gelombang.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Biomedis;Fisika Mekanika Klasik;Semester 1;Mempelajari mekanika klasik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Biomedis;Kalkulus Variabel Tunggal;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Biomedis;Kimia Dasar;Semester 1;Mempelajari konsep dasar kimia: struktur atom, ikatan, stoikiometri, kesetimbangan, termokimia, dan larutan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Biomedis;Matematika Diskrit;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Biomedis;Teori Vektor dan Matriks;Semester 1;Mempelajari vektor dan matriks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Biomedis;Kalkulus Variabel Jamak;Semester 2;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Elektro;Fisika Dasar;Semester 1;Mempelajari konsep dasar mekanika, termodinamika, gelombang, listrik-magnet, dan optika beserta penerapannya.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Elektro;Kalkulus;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Elektro;Algoritma dan Struktur Data;Semester 2;Mempelajari algoritma dan struktur data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Aljabar Linear;Semester 2;Mempelajari aljabar linear.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Fisika Listrik dan Magnet;Semester 2;Mempelajari listrik dan magnet.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Kalkulus Variabel Jamak;Semester 2;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Elektro;Praktikum Pemrograman Dasar;Semester 2;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk pemrograman dasar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Probabilitas dan Variabel Acak;Semester 2;Mempelajari probabilitas dan variabel acak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Analisis Untai Elektrik DC;Semester 3;Mempelajari analisis rangkaian DC.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Analisis Variabel Kompleks;Semester 3;Mempelajari analisis variabel kompleks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Isyarat dan Sistem;Semester 3;Mempelajari isyarat dan sistem.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Pengukuran dan Instrumentasi;Semester 3;Mempelajari pengukuran dan instrumentasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Persamaan Diferensial;Semester 3;Mempelajari persamaan diferensial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Praktikum Sains Dasar;Semester 3;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk sains dasar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Sistem Mikroprosesor;Semester 3;Mempelajari sistem mikroprosesor.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Elektro;Statistika;Semester 3;Mempelajari statistika deskriptif dan inferensial: distribusi peluang, estimasi, uji hipotesis, korelasi-regresi, dan penerapannya dalam analisis data.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Bahasa Indonesia dan Penulisan Ilmiah;Semester 1;Mempelajari kaidah bahasa Indonesia dan keterampilan menulis akademik: ejaan, kalimat efektif, paragraf, dan penulisan karya ilmiah.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Fisika Fluida, Kalor, dan Gelombang;Semester 1;Mempelajari fluida, kalor, dan gelombang.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Fisika Mekanika Klasik;Semester 1;Mempelajari mekanika klasik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kalkulus Variabel Tunggal;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Matematika Diskrit;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pemrograman Dasar;Semester 1;Mempelajari pemrograman dasar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Teori Vektor dan Matriks;Semester 1;Mempelajari vektor dan matriks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Algoritme dan Struktur Data;Semester 2;Mempelajari algoritma dan struktur data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Aljabar Linear;Semester 2;Mempelajari aljabar linear.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Analisis Variabel Kompleks;Semester 2;Mempelajari analisis variabel kompleks.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Fisika Listrik dan Magnet;Semester 2;Mempelajari listrik dan magnet.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kalkulus Variabel Jamak;Semester 2;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Konsep Keteknikan untuk Peradaban;Semester 2;Mempelajari peran rekayasa dalam peradaban: sejarah teknologi, proses desain teknik, etika insinyur, serta dampak sosial dan lingkungan dari teknologi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Praktikum Pemrograman Dasar;Semester 2;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk pemrograman dasar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Probabilitas dan Variabel Acak;Semester 2;Mempelajari probabilitas dan variabel acak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Agama Kontekstual (Budha);Semester 3;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Agama Kontekstual (Hindu);Semester 3;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Agama Kontekstual (Islam);Semester 3;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Agama Kontekstual (Katolik);Semester 3;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Agama Kontekstual (Kristen);Semester 3;Mempelajari ajaran agama sebagai landasan moral, spiritual, dan etika dalam kehidupan pribadi, akademik, dan bermasyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Arsitektur Komputer;Semester 3;Mempelajari arsitektur komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Isyarat dan Sistem;Semester 3;Mempelajari isyarat dan sistem.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Komunikasi Data dan Komputer;Semester 3;Mempelajari komunikasi data dan komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Metode Numeris;Semester 3;Mempelajari metode numerik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pemrograman Berorientasi Obyek;Semester 3;Mempelajari pemrograman berorientasi objek.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Persamaan Diferensial;Semester 3;Mempelajari persamaan diferensial.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Praktikum Sains Dasar;Semester 3;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk sains dasar.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Statistika;Semester 3;Mempelajari statistika deskriptif dan inferensial: distribusi peluang, estimasi, uji hipotesis, korelasi-regresi, dan penerapannya dalam analisis data.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Jaringan Komputer;Semester 4;Mempelajari jaringan komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kecerdasan Buatan;Semester 4;Mempelajari kecerdasan buatan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Medan Elektromagnetik;Semester 4;Mempelajari medan elektromagnetik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Sistem Berbasis Mikroprosesor;Semester 4;Mempelajari sistem berbasis mikroprosesor.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Teknik Pemodelan dan Simulasi;Semester 4;Mempelajari pemodelan dan simulasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Teknik Visualisasi Grafis;Semester 4;Mempelajari teknik visualisasi grafis.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Teknologi Basis Data;Semester 4;Mempelajari teknologi basis data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Interaksi Manusia dan Komputer;Semester 5;Mempelajari interaksi manusia dan komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kerja Praktik;Semester 5;Kegiatan praktik kerja di industri/instansi untuk menerapkan kompetensi program studi dan menyusun laporan praktik.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Komputasi Awan;Semester 5;Mempelajari komputasi awan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pengembangan Aplikasi Web;Semester 5;Mempelajari pengembangan aplikasi web.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Proyek Junior Teknologi Informasi;Semester 5;Proyek junior TI.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Rekayasa Data;Semester 5;Mempelajari rekayasa data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Rekayasa Perangkat Lunak;Semester 5;Mempelajari rekayasa perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Sistem Operasi;Semester 5;Mempelajari sistem operasi: proses, memori, berkas, dan penjadwalan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Integrasi Aplikasi dan Informasi;Semester 6;Mempelajari integrasi aplikasi dan informasi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Keamanan Komputer;Semester 6;Mempelajari keamanan komputer.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pancasila;Semester 6;Mempelajari Pancasila sebagai dasar negara, ideologi, dan sistem etika, serta penerapannya dalam kehidupan berbangsa dan bernegara.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Proyek Perancangan Teknologi Informasi 1;Semester 6;Proyek perancangan TI.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Proyek Senior Teknologi Informasi;Semester 6;Proyek senior TI.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kewirausahaan Teknologi;Semester 7;Mempelajari pola pikir dan proses kewirausahaan: identifikasi peluang, model bisnis, validasi pasar, dan perencanaan usaha rintisan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;KKN-PPM;Semester 7;Kuliah Kerja Nyata: pembelajaran-pemberdayaan masyarakat di lokasi desa/wilayah melalui program kerja interdisipliner bersama masyarakat. Hanya dihitung untuk indikator Kepmen bila program kerjanya bertema lingkungan secara substansial (cek laporan/RPS).;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Komunikasi Masyarakat;Semester 7;Mempelajari teknik komunikasi efektif dengan masyarakat: penyampaian informasi, fasilitasi, dan membangun partisipasi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kuliah Kerja Nyata;Semester 7;Kuliah Kerja Nyata: pembelajaran-pemberdayaan masyarakat di lokasi desa/wilayah melalui program kerja interdisipliner bersama masyarakat. Hanya dihitung untuk indikator Kepmen bila program kerjanya bertema lingkungan secara substansial (cek laporan/RPS).;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Literasi Kesehatan;Semester 7;Mempelajari kemampuan mencari, memahami, menilai, dan menggunakan informasi kesehatan untuk keputusan yang tepat bagi diri dan masyarakat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Manajemen Industri;Semester 7;Mempelajari manajemen industri.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Penerapan Teknologi Tepat Guna;Semester 7;Mempelajari perancangan dan penerapan teknologi tepat guna yang sesuai kebutuhan dan kapasitas masyarakat setempat.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Proyek Perancangan Teknologi Informasi 2;Semester 7;Proyek perancangan TI.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Kewarganegaraan;Semester 8;Mempelajari hak dan kewajiban warga negara, demokrasi, konstitusi, identitas nasional, dan wawasan kebangsaan.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Skripsi & Pendadaran;Semester 8;Pelaksanaan penelitian/proyek akhir mandiri di bawah bimbingan dosen, penulisan laporan ilmiah, dan ujian akhir. Keterkaitan dengan kriteria Kepmen bergantung pada topik tiap mahasiswa.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknologi Informasi;Studium Generale;Semester 8;Kuliah umum lintas topik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Big Data dan Analitik;-;Mempelajari big data dan analitik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pemrosesan Bahasa Alami;-;Mempelajari pemrosesan bahasa alami.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Sistem Pendukung Keputusan;-;Mempelajari sistem pendukung keputusan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Teknik Kompresi Data;-;Mempelajari teknik kompresi data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Forensik Digital;-;Mempelajari forensik digital.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Keamanan dan Integritas Data;-;Mempelajari keamanan dan integritas data.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Peretasan Beretika;-;Mempelajari peretasan beretika (ethical hacking).;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Sistem Komunikasi Bergerak;-;Mempelajari sistem komunikasi bergerak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pengembangan Aplikasi Permainan;-;Mempelajari pengembangan game.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pengembangan Aplikasi Piranti Bergerak;-;Mempelajari pengembangan aplikasi mobile.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknologi Informasi;Pengujian Perangkat Lunak;-;Mempelajari pengujian perangkat lunak.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Aljabar Linear;Semester 1;Mempelajari aljabar linear.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Dasar-dasar Geofisika dan Astronomi;Semester 1;Mempelajari dasar geofisika dan astronomi.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Fisika Dasar;Semester 1;Mempelajari konsep dasar mekanika, termodinamika, gelombang, listrik-magnet, dan optika beserta penerapannya.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Geodesi;Kalkulus;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Geodesi;Matematika Diskrit;Semester 1;Mempelajari konsep matematika (fungsi, limit, turunan, integral, aljabar) dan penerapannya dalam pemecahan masalah bidang ilmu.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Geodesi;Pengantar Ilmu Kebumian;Semester 1;Mempelajari pengantar ilmu kebumian.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Praktikum Survei Terestris I;Semester 1;Praktikum pendamping: melatih keterampilan laboratorium/lapangan untuk survei terestris.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Statistika Dasar;Semester 1;Mempelajari statistika deskriptif dan inferensial: distribusi peluang, estimasi, uji hipotesis, korelasi-regresi, dan penerapannya dalam analisis data.;Leksikon MK umum;Tidak terkait / bergantung topik;;
S1;Fakultas Teknik UGM;Teknik Geodesi;Survei Terestris I;Semester 1;Mempelajari survei terestris.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Geometri Analitik;Semester 2;Mempelajari geometri analitik.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Hitung Perataan;Semester 2;Mempelajari hitung perataan.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Hukum Agraria;Semester 2;Mempelajari hukum agraria: hak atas tanah, pendaftaran tanah, dan reforma agraria.;Deskripsi manual per MK;Tidak terkait (dinilai dari deskripsi);;
S1;Fakultas Teknik UGM;Teknik Geodesi;Konsep Keteknikan untuk Peradaban;Semester 2;Mempelajari peran rekayasa dalam peradaban: sejarah teknologi, proses desain teknik, etika insinyur, serta dampak sosial dan lingkungan dari teknologi.;Leksikon MK umum;Tidak terkait / bergantung topik;;
